username,user_rating,first_line_percentage,second_line_percentage,third_line_percentage,bad_moves_percentage
Ucitel,2607,85.71,10.71,0.00,3.57
Ucitel,2579,85.29,8.82,5.88,0.00
Ucitel,2557,85.29,8.82,2.94,2.94
Ucitel,2610,85.19,3.70,11.11,0.00
Ucitel,2576,85.11,10.64,0.00,4.26
Ucitel,2609,85.00,10.00,0.00,5.00
Ucitel,2589,84.91,11.32,1.89,1.89
Ucitel,2636,84.85,06.06,03.03,06.06
Ucitel,2618,84.62,10.26,2.56,2.56
Ucitel,2634,84.62,7.69,7.69,0.00
Ucitel,2558,84.62,10.26,2.56,2.56
Ucitel,2586,84.48,3.45,0.00,12.07
Ucitel,2599,84.44,11.11,0.00,4.44
Ucitel,2615,84.44,13.33,2.22,0.00
Ucitel,1521,84.38,6.25,9.38,0.00
Ucitel,2576,84.21,2.63,5.26,7.89
Ucitel,2612,84.21,5.26,1.32,9.21
Ucitel,2594,84.09,11.36,4.55,0.00
Ucitel,2625,84.09,09.09,0.00,6.82
Ucitel,2611,84.00,12.00,0.00,4.00
Ucitel,2554,83.78,13.51,2.70,0.00
Ucitel,2582,83.67,8.16,04.08,04.08
Ucitel,2606,83.33,16.67,0.00,0.00
Ucitel,2637,83.33,12.96,1.85,1.85
Ucitel,2634,83.33,11.11,2.78,2.78
Ucitel,2610,83.08,12.31,03.08,1.54
Ucitel,2632,82.76,10.34,6.90,0.00
Ucitel,2617,82.61,4.35,0.00,13.04
Ucitel,2554,82.61,17.39,0.00,0.00
Ucitel,2558,82.61,8.70,4.35,4.35
Ucitel,2611,82.35,17.65,0.00,0.00
Ucitel,2597,82.22,13.33,2.22,2.22
Ucitel,2629,82.14,10.71,7.14,0.00
Ucitel,2579,82.14,7.14,10.71,0.00
Ucitel,2616,81.97,4.92,3.28,9.84
Ucitel,2594,81.82,13.64,0.00,4.55
Ucitel,2597,81.82,4.55,4.55,09.09
Ucitel,2588,81.82,09.09,5.45,3.64
Ucitel,2592,81.58,2.63,7.89,7.89
Ucitel,2638,81.58,5.26,7.89,5.26
Ucitel,2601,81.48,12.96,0.00,5.56
Ucitel,2593,81.48,14.81,0.00,3.70
Ucitel,2617,81.40,2.33,13.95,2.33
Ucitel,2612,81.25,12.50,3.12,3.12
Ucitel,2565,81.25,8.33,6.25,4.17
Ucitel,2597,80.95,11.90,4.76,2.38
Ucitel,2614,80.85,12.77,6.38,0.00
Ucitel,2599,80.77,11.54,7.69,0.00
Ucitel,2611,80.77,7.69,7.69,3.85
Ucitel,2612,80.77,11.54,3.85,3.85
Ucitel,2562,80.56,13.89,2.78,2.78
Ucitel,2571,80.49,4.88,4.88,9.76
Ucitel,2560,80.49,7.32,7.32,4.88
Ucitel,2620,80.49,4.88,4.88,9.76
Ucitel,2611,80.43,6.52,4.35,8.70
Ucitel,2607,80.39,9.80,9.80,0.00
Ucitel,2626,80.30,7.58,7.58,4.55
Ucitel,2600,80.00,20.00,0.00,0.00
Ucitel,2607,80.00,12.00,2.00,6.00
Ucitel,2637,80.00,8.00,4.00,8.00
Ucitel,2582,80.00,10.00,10.00,0.00
Ucitel,2571,80.00,10.00,5.00,5.00
Ucitel,2584,80.00,7.50,5.00,7.50
Ucitel,2613,79.66,10.17,1.69,8.47
Ucitel,2628,79.63,7.41,9.26,3.70
Ucitel,2560,79.55,09.09,2.27,09.09
Ucitel,2595,79.31,6.90,13.79,0.00
Ucitel,2572,79.17,8.33,4.17,8.33
Ucitel,2559,79.17,16.67,0.00,4.17
Ucitel,2586,79.07,9.30,0.00,11.63
Ucitel,2577,78.95,15.79,2.63,2.63
Ucitel,2599,78.87,2.82,11.27,07.04
Ucitel,2585,78.79,06.06,06.06,09.09
Ucitel,2615,78.57,17.86,0.00,3.57
Ucitel,1521,78.57,14.29,0.00,7.14
Ucitel,2595,78.38,9.46,5.41,6.76
Ucitel,2559,78.38,16.22,0.00,5.41
Ucitel,2604,78.33,10.00,10.00,1.67
Ucitel,2616,77.78,11.11,3.70,7.41
Ucitel,2581,77.78,7.41,7.41,7.41
Ucitel,2611,77.78,22.22,0.00,0.00
Ucitel,1521,77.78,22.22,0.00,0.00
Ucitel,2558,77.78,13.89,8.33,0.00
Ucitel,2613,77.50,20.00,2.50,0.00
Ucitel,2562,77.27,0.00,18.18,4.55
Ucitel,2599,76.92,3.85,15.38,3.85
Ucitel,2630,76.74,13.95,6.98,2.33
Ucitel,2576,76.67,10.00,6.67,6.67
Ucitel,2559,76.67,16.67,0.00,6.67
Ucitel,2615,76.60,8.51,8.51,6.38
Ucitel,2608,76.60,10.64,2.13,10.64
Ucitel,2612,76.47,14.71,0.00,8.82
Ucitel,2606,76.47,16.18,2.94,4.41
Ucitel,2588,75.76,13.64,03.03,7.58
Ucitel,2557,75.76,18.18,0.00,06.06
Ucitel,2557,75.51,14.29,04.08,6.12
Ucitel,2627,75.47,9.43,11.32,3.77
Ucitel,2595,75.00,25.00,0.00,0.00
Ucitel,2608,74.63,13.43,1.49,10.45
Ucitel,2598,74.29,12.86,5.71,7.14
Ucitel,2607,73.91,0.00,17.39,8.70
Ucitel,2582,73.68,17.54,8.77,0.00
Ucitel,2613,73.53,11.76,8.82,5.88
Ucitel,2612,73.33,16.67,3.33,6.67
Ucitel,2590,73.21,17.86,7.14,1.79
Ucitel,2611,72.86,11.43,11.43,4.29
Ucitel,2557,72.73,12.12,06.06,09.09
Ucitel,2603,72.50,17.50,5.00,5.00
Ucitel,2620,72.22,13.89,13.89,0.00
Ucitel,1521,72.22,22.22,5.56,0.00
Ucitel,2611,71.88,15.62,9.38,3.12
Ucitel,2637,70.27,18.92,8.11,2.70
Ucitel,2581,70.18,8.77,3.51,17.54
Ucitel,2592,70.00,5.00,20.00,5.00
Ucitel,2557,69.57,13.04,8.70,8.70
Ucitel,2597,69.35,16.13,14.52,0.00
Ucitel,2612,69.23,19.23,11.54,0.00
Ucitel,2599,68.33,15.00,5.00,11.67
Ucitel,2607,67.86,14.29,3.57,14.29
Ucitel,1521,66.67,22.22,11.11,0.00
Ro_ro2,894,58.33,13.89,25.00,2.78
Ro_ro2,898,80.00,20.00,0.00,0.00
Ro_ro2,861,80.00,4.44,11.11,4.44
Ro_ro2,854,80.00,0.00,20.00,0.00
Ro_ro2,873,77.78,11.11,11.11,0.00
Ro_ro2,867,77.78,5.56,16.67,0.00
Ro_ro2,854,77.78,0.00,11.11,11.11
Ro_ro2,870,76.47,17.65,5.88,0.00
Ro_ro2,893,75.00,3.12,3.12,18.75
Ro_ro2,884,75.00,0.00,8.33,16.67
Ro_ro2,851,75.00,13.33,10.00,1.67
Ro_ro2,862,73.33,6.67,13.33,6.67
Ro_ro2,915,72.22,0.00,11.11,16.67
Ro_ro2,848,72.22,5.56,16.67,5.56
Ro_ro2,870,71.43,14.29,14.29,0.00
Ro_ro2,902,71.19,8.47,13.56,6.78
Ro_ro2,869,70.00,30.00,0.00,0.00
Ro_ro2,910,69.70,09.09,21.21,0.00
Ro_ro2,849,69.57,13.04,8.70,8.70
Ro_ro2,893,69.44,19.44,5.56,5.56
Ro_ro2,903,69.23,15.38,7.69,7.69
Ro_ro2,877,68.75,6.25,25.00,0.00
Ro_ro2,876,68.75,15.62,12.50,3.12
Ro_ro2,853,68.52,7.41,18.52,5.56
Ro_ro2,911,68.42,0.00,15.79,15.79
Ro_ro2,912,67.74,6.45,24.19,1.61
Ro_ro2,887,66.67,14.81,18.52,0.00
Ro_ro2,889,66.67,16.67,16.67,0.00
Ro_ro2,836,66.67,11.11,18.52,3.70
Ro_ro2,895,66.67,10.26,20.51,2.56
Ro_ro2,896,66.67,22.22,11.11,0.00
Ro_ro2,879,66.67,16.67,16.67,0.00
Ro_ro2,867,65.38,3.85,15.38,15.38
Ro_ro2,871,65.00,5.00,7.50,22.50
Ro_ro2,856,65.00,12.50,22.50,0.00
Ro_ro2,892,64.58,10.42,25.00,0.00
Ro_ro2,906,64.41,16.95,8.47,10.17
Ro_ro2,855,64.29,0.00,14.29,21.43
Ro_ro2,874,64.10,20.51,7.69,7.69
Ro_ro2,878,63.64,15.15,09.09,12.12
Ro_ro2,883,63.64,20.45,11.36,4.55
Ro_ro2,873,63.64,18.18,0.00,18.18
Ro_ro2,872,63.41,12.20,19.51,4.88
Ro_ro2,851,63.16,5.26,31.58,0.00
Ro_ro2,872,62.96,7.41,25.93,3.70
Ro_ro2,867,62.86,20.00,14.29,2.86
Ro_ro2,873,62.50,25.00,12.50,0.00
Ro_ro2,850,62.50,15.62,21.88,0.00
Ro_ro2,857,62.50,0.00,31.25,6.25
Ro_ro2,879,62.50,31.25,6.25,0.00
Ro_ro2,874,62.50,12.50,25.00,0.00
Ro_ro2,852,62.50,18.75,12.50,6.25
Ro_ro2,896,62.16,2.70,35.14,0.00
Ro_ro2,880,62.07,17.24,20.69,0.00
Ro_ro2,901,61.90,14.29,9.52,14.29
Ro_ro2,895,61.54,20.51,15.38,2.56
Ro_ro2,844,61.54,19.23,11.54,7.69
Ro_ro2,1500,61.54,15.38,7.69,15.38
Ro_ro2,885,61.54,7.69,30.77,0.00
Ro_ro2,908,61.40,15.79,21.05,1.75
Ro_ro2,896,61.29,19.35,19.35,0.00
Ro_ro2,890,60.87,17.39,8.70,13.04
Ro_ro2,833,60.87,13.04,13.04,13.04
Ro_ro2,887,60.87,8.70,17.39,13.04
Ro_ro2,897,60.32,6.35,9.52,23.81
Ro_ro2,900,60.00,12.00,28.00,0.00
Ro_ro2,880,60.00,14.55,20.00,5.45
Ro_ro2,905,60.00,20.00,16.00,4.00
Ro_ro2,847,60.00,8.00,16.00,16.00
Ro_ro2,868,59.68,9.68,25.81,4.84
Ro_ro2,888,59.38,21.88,12.50,6.25
Ro_ro2,889,58.33,0.00,33.33,8.33
Ro_ro2,843,57.89,15.79,26.32,0.00
Ro_ro2,852,57.89,31.58,10.53,0.00
Ro_ro2,908,57.69,23.08,19.23,0.00
Ro_ro2,828,57.69,15.38,26.92,0.00
Ro_ro2,892,57.69,11.54,15.38,15.38
Ro_ro2,867,57.14,4.76,28.57,9.52
Ro_ro2,866,57.14,16.67,11.90,14.29
Ro_ro2,822,57.14,28.57,14.29,0.00
Ro_ro2,888,57.14,9.52,23.81,9.52
Ro_ro2,910,57.14,21.43,21.43,0.00
Ro_ro2,911,57.14,23.81,14.29,4.76
Ro_ro2,873,57.14,7.14,35.71,0.00
Ro_ro2,866,57.14,9.52,14.29,19.05
Ro_ro2,887,57.14,14.29,25.71,2.86
Ro_ro2,870,57.14,28.57,14.29,0.00
Ro_ro2,893,56.67,6.67,20.00,16.67
Ro_ro2,888,56.52,17.39,17.39,8.70
Ro_ro2,879,56.52,21.74,21.74,0.00
Ro_ro2,891,56.52,21.74,17.39,4.35
Ro_ro2,865,56.25,25.00,18.75,0.00
Ro_ro2,904,56.10,7.32,26.83,9.76
Ro_ro2,845,56.00,8.00,12.00,24.00
Ro_ro2,928,55.81,18.60,20.93,4.65
Ro_ro2,882,55.56,16.67,27.78,0.00
Ro_ro2,870,55.17,10.34,24.14,10.34
Ro_ro2,848,55.00,15.00,10.00,20.00
Ro_ro2,861,55.00,15.00,30.00,0.00
Ro_ro2,918,54.84,25.81,12.90,6.45
Ro_ro2,879,54.84,22.58,16.13,6.45
Ro_ro2,889,54.55,18.18,27.27,0.00
Ro_ro2,856,54.55,09.09,36.36,0.00
Ro_ro2,900,54.29,11.43,28.57,5.71
Ro_ro2,833,54.29,5.71,20.00,20.00
Ro_ro2,893,54.29,8.57,31.43,5.71
Ro_ro2,892,54.17,12.50,8.33,25.00
Ro_ro2,882,54.00,18.00,22.00,6.00
Ro_ro2,889,53.85,15.38,7.69,23.08
Ro_ro2,873,53.33,13.33,33.33,0.00
Ro_ro2,859,53.33,16.67,26.67,3.33
Ro_ro2,907,52.94,17.65,23.53,5.88
Ro_ro2,923,52.94,14.71,32.35,0.00
Ro_ro2,889,52.38,23.81,4.76,19.05
Ro_ro2,898,52.38,9.52,28.57,9.52
Ro_ro2,860,52.38,9.52,23.81,14.29
Ro_ro2,847,52.00,28.00,12.00,8.00
Ro_ro2,866,52.00,12.00,32.00,4.00
Ro_ro2,863,51.90,21.52,8.86,17.72
Ro_ro2,899,50.00,25.00,10.71,14.29
Ro_ro2,872,50.00,12.50,37.50,0.00
Ro_ro2,886,50.00,10.71,32.14,7.14
Ro_ro2,871,50.00,27.78,11.11,11.11
Ro_ro2,876,50.00,12.50,6.25,31.25
Ro_ro2,906,50.00,11.54,34.62,3.85
Ro_ro2,902,50.00,30.00,20.00,0.00
Ro_ro2,911,50.00,10.00,40.00,0.00
Ro_ro2,902,50.00,50.00,0.00,0.00
Ro_ro2,878,50.00,0.00,33.33,16.67
Ro_ro2,874,50.00,18.75,31.25,0.00
Ro_ro2,885,50.00,18.75,25.00,6.25
Ro_ro2,854,50.00,25.00,10.71,14.29
Ro_ro2,870,50.00,16.67,33.33,0.00
Ro_ro2,852,50.00,7.14,42.86,0.00
Ro_ro2,854,48.65,10.81,21.62,18.92
Ro_ro2,869,48.65,27.03,16.22,8.11
Ro_ro2,886,48.28,17.24,27.59,6.90
Ro_ro2,826,48.00,20.00,32.00,0.00
Ro_ro2,904,48.00,28.00,20.00,4.00
Ro_ro2,883,47.62,14.29,38.10,0.00
Ro_ro2,849,47.62,19.05,33.33,0.00
Ro_ro2,902,47.06,11.76,29.41,11.76
Ro_ro2,900,47.06,35.29,17.65,0.00
Ro_ro2,903,46.67,20.00,6.67,26.67
Ro_ro2,856,46.67,13.33,30.00,10.00
Ro_ro2,862,46.67,26.67,20.00,6.67
Ro_ro2,893,46.15,30.77,7.69,15.38
Ro_ro2,908,46.15,11.54,38.46,3.85
Ro_ro2,867,46.15,23.08,23.08,7.69
Ro_ro2,904,45.45,18.18,22.73,13.64
Ro_ro2,874,45.45,18.18,36.36,0.00
Ro_ro2,873,45.45,27.27,18.18,09.09
Ro_ro2,917,45.45,27.27,22.73,4.55
Ro_ro2,887,45.00,15.00,20.00,20.00
Ro_ro2,893,44.83,10.34,44.83,0.00
Ro_ro2,887,44.44,11.11,44.44,0.00
Ro_ro2,880,44.44,22.22,33.33,0.00
Ro_ro2,883,44.44,11.11,33.33,11.11
Ro_ro2,909,43.75,12.50,34.38,9.38
Ro_ro2,908,43.75,25.00,6.25,25.00
Ro_ro2,843,42.86,32.14,25.00,0.00
Ro_ro2,911,42.86,14.29,35.71,7.14
Ro_ro2,875,42.86,7.14,42.86,7.14
Ro_ro2,909,42.11,36.84,10.53,10.53
Ro_ro2,915,41.86,13.95,30.23,13.95
Ro_ro2,845,41.67,16.67,37.50,4.17
Ro_ro2,875,41.67,25.00,25.00,8.33
Ro_ro2,879,41.38,17.24,13.79,27.59
Ro_ro2,867,41.38,17.24,37.93,3.45
Ro_ro2,883,41.18,23.53,23.53,11.76
Ro_ro2,905,40.00,0.00,40.00,20.00
Ro_ro2,835,40.00,20.00,32.00,8.00
Ro_ro2,864,40.00,25.00,35.00,0.00
Ro_ro2,882,40.00,20.00,40.00,0.00
Ro_ro2,911,40.00,24.00,36.00,0.00
Ro_ro2,918,40.00,20.00,20.00,20.00
Ro_ro2,858,38.46,7.69,46.15,7.69
Ro_ro2,860,38.46,23.08,11.54,26.92
Ro_ro2,882,38.10,23.81,38.10,0.00
Ro_ro2,871,37.50,25.00,12.50,25.00
Ro_ro2,878,37.50,25.00,37.50,0.00
Ro_ro2,837,36.84,5.26,26.32,31.58
Ro_ro2,877,36.84,21.05,42.11,0.00
Ro_ro2,842,36.36,15.15,24.24,24.24
Ro_ro2,897,35.71,21.43,35.71,7.14
Ro_ro2,878,35.29,11.76,29.41,23.53
Ro_ro2,894,33.33,22.22,33.33,11.11
Ro_ro2,904,33.33,20.00,46.67,0.00
Ro_ro2,857,33.33,16.67,50.00,0.00
Ro_ro2,875,33.33,25.00,33.33,8.33
Ali430,891,90.00,10.00,0.00,0.00
Ali430,1005,88.89,0.00,11.11,0.00
Ali430,874,88.00,0.00,8.00,4.00
Ali430,856,86.67,6.67,0.00,6.67
Ali430,865,86.36,13.64,0.00,0.00
Ali430,832,85.71,0.00,0.00,14.29
Ali430,881,85.71,4.76,0.00,9.52
Ali430,900,85.00,10.00,0.00,5.00
Ali430,902,84.21,15.79,0.00,0.00
Ali430,890,84.21,5.26,5.26,5.26
Ali430,998,83.33,8.33,8.33,0.00
Ali430,887,83.33,5.56,5.56,5.56
Ali430,889,83.33,0.00,0.00,16.67
Ali430,919,83.33,5.56,0.00,11.11
Ali430,904,82.35,11.76,5.88,0.00
Ali430,888,81.82,09.09,0.00,09.09
Ali430,881,81.82,12.12,03.03,03.03
Ali430,926,81.82,13.64,0.00,4.55
Ali430,815,81.48,11.11,0.00,7.41
Ali430,992,81.25,9.38,6.25,3.12
Ali430,844,81.25,18.75,0.00,0.00
Ali430,862,81.25,15.62,3.12,0.00
Ali430,913,81.25,0.00,6.25,12.50
Ali430,871,80.95,9.52,9.52,0.00
Ali430,877,80.77,3.85,15.38,0.00
Ali430,895,80.00,13.33,0.00,6.67
Ali430,880,80.00,0.00,13.33,6.67
Ali430,890,78.95,0.00,10.53,10.53
Ali430,891,78.95,0.00,15.79,5.26
Ali430,888,78.26,4.35,17.39,0.00
Ali430,903,78.26,8.70,13.04,0.00
Ali430,877,77.78,0.00,22.22,0.00
Ali430,881,77.78,7.41,14.81,0.00
Ali430,910,77.78,0.00,11.11,11.11
Ali430,869,77.27,09.09,4.55,09.09
Ali430,865,77.27,09.09,13.64,0.00
Ali430,886,77.27,13.64,4.55,4.55
Ali430,911,77.27,13.64,4.55,4.55
Ali430,886,77.27,4.55,18.18,0.00
Ali430,984,76.92,5.13,2.56,15.38
Ali430,885,76.92,7.69,15.38,0.00
Ali430,893,76.92,0.00,23.08,0.00
Ali430,859,76.67,16.67,6.67,0.00
Ali430,918,76.47,5.88,11.76,5.88
Ali430,880,76.19,9.52,0.00,14.29
Ali430,1057,76.00,16.00,8.00,0.00
Ali430,803,75.86,13.79,10.34,0.00
Ali430,846,75.00,0.00,25.00,0.00
Ali430,1224,75.00,12.50,12.50,0.00
Ali430,866,75.00,20.83,0.00,4.17
Ali430,883,75.00,5.56,2.78,16.67
Ali430,888,75.00,12.50,6.25,6.25
Ali430,894,75.00,12.50,0.00,12.50
Ali430,918,75.00,4.17,12.50,8.33
Ali430,904,75.00,4.17,12.50,8.33
Ali430,922,74.19,12.90,12.90,0.00
Ali430,886,74.07,14.81,0.00,11.11
Ali430,889,73.91,8.70,4.35,13.04
Ali430,881,73.33,6.67,0.00,20.00
